benchmark_id	state_id	candidate_strategy	score_field	k	oracle_top_m	candidate_count	oracle_action_recall	oracle_node_recall	regret	best_in_topk_delta_tc	oracle_best_delta_tc	top1_real_delta_tc	top1_regret	negative_top1
subckt_0072	initial	cached_hard_cone	guarded_reward	16	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
subckt_0072	initial	cached_hard_cone	guarded_reward	24	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
subckt_0072	initial	cached_hard_cone	hard_reduction_total_pred	8	5	24	0.2	0.3333333333333333	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_hard_cone	hard_reduction_total_pred	16	5	24	0.6	1.0	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_hard_cone	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_hard_cone	hybrid_pred	8	5	24	0.2	0.3333333333333333	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_hard_cone	hybrid_pred	16	5	24	0.6	1.0	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_hard_cone	hybrid_pred	24	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.007349999999999968	0.03369	0
subckt_0072	initial	cached_random	reward_pred	8	5	24	0.2	0.6	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	reward_pred	16	5	24	0.8	0.8	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	reward_pred	24	5	24	1.0	1.0	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	guarded_reward	8	5	24	0.0	0.6	0.11337000000000008	0.041039999999999965	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	guarded_reward	16	5	24	0.6	0.8	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	guarded_reward	24	5	24	1.0	1.0	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hard_reduction_total_pred	8	5	24	0.2	0.2	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hard_reduction_total_pred	16	5	24	0.8	0.8	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hybrid_pred	8	5	24	0.2	0.2	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hybrid_pred	16	5	24	0.8	0.8	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0072	initial	cached_random	hybrid_pred	24	5	24	1.0	1.0	0.0	0.15441000000000005	0.15441000000000005	0.041039999999999965	0.11337000000000008	0
subckt_0304	initial	cached_stride	reward_pred	8	5	24	0.0	0.2	0.02678999999999998	0.009569999999999967	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	reward_pred	16	5	24	0.4	0.8	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	reward_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	guarded_reward	8	5	24	0.2	0.4	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	guarded_reward	16	5	24	0.8	0.8	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	guarded_reward	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_stride	hard_reduction_total_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_stride	hard_reduction_total_pred	16	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_stride	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_stride	hybrid_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_stride	hybrid_pred	16	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_stride	hybrid_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.0012699999999999934	0.035089999999999955	0
subckt_0304	initial	cached_hard_cone	reward_pred	8	5	24	0.0	0.2	0.02678999999999998	0.009569999999999967	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	reward_pred	16	5	24	0.4	0.8	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	reward_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	guarded_reward	8	5	24	0.0	0.6	0.02678999999999998	0.009569999999999967	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	guarded_reward	16	5	24	0.2	0.8	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	guarded_reward	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_hard_cone	hard_reduction_total_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_hard_cone	hard_reduction_total_pred	16	5	24	0.8	0.8	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_hard_cone	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_hard_cone	hybrid_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_hard_cone	hybrid_pred	16	5	24	0.6	0.8	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_hard_cone	hybrid_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
subckt_0304	initial	cached_random	reward_pred	8	5	24	0.0	0.2	0.01754	0.018819999999999948	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	reward_pred	16	5	24	0.0	0.8	0.008769999999999945	0.027590000000000003	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	reward_pred	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	guarded_reward	8	5	24	0.0	0.6	0.02678999999999998	0.009569999999999967	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	guarded_reward	16	5	24	0.6	0.8	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	guarded_reward	24	5	24	1.0	1.0	0.0	0.03635999999999995	0.03635999999999995	0.009569999999999967	0.02678999999999998	0
subckt_0304	initial	cached_random	hard_reduction_total_pred	8	5	24	0.4	0.4	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.0	0
