checkpoint	epoch	class	bin	low	high	count	mean_confidence	positive_rate	abs_gap	brier	ece
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	4	0.4	0.5	3422	0.445032634263426	0.0002922267679719462	0.444740407495454	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	5	0.5	0.6000000000000001	3283	0.5515887976564215	0.0006091989034419738	0.5509795987529795	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	6	0.6000000000000001	0.7000000000000001	5665	0.6503529280871284	0.00088261253309797	0.6494703155540305	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	7	0.7000000000000001	0.8	6098	0.7552005664545343	0.018858642177763202	0.736341924276771	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	8	0.8	0.9	2321	0.8351374152969153	0.0034467901766479965	0.8316906251202674	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	9	0.9	1.0	1024	0.9407467803102918	0.23046875	0.7102780303102918	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	0	0.0	0.1	17441	0.07081563637990411	0.0	0.07081563637990411	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	1	0.1	0.2	14156	0.12777249875848712	0.0	0.12777249875848712	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	2	0.2	0.30000000000000004	340	0.22042882911422673	0.0	0.22042882911422673	0.017362294945479105	0.10583263826362861
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa0	3	0.30000000000000004	0.4	281	0.34349232243897654	0.0	0.34349232243897654	0.017362294945479105	0.10583263826362861
