split	variant	checkpoint_name	benchmark_id	state_id	candidate_strategy	baseline_top1_action	baseline_top1_delta_tc	ranker_top1_action	ranker_top1_delta_tc	delta_vs_baseline	ranker_top1_regret
train	linear_l2	incumbent	subckt_0068	initial	cached_stride	__aig_and_314::observe	0.000180000000000069	__buf_split_1::control1	9.00000000000345e-05	-9.00000000000345e-05	9.00000000000345e-05
train	linear_l2	incumbent	subckt_0061	initial	cached_hard_cone	__buf_split_3::observe	0.00016999999999989246	__buf_split_7::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0061	initial	cached_random	376::observe	0.00016999999999989246	__buf_split_260::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0061	initial	cached_stride	__aig_not_334::observe	0.00016999999999989246	__buf_split_215::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0215	initial	cached_random	__aig_not_272::observe	0.00014999999999998348	__aig_not_272::control1	7.000000000012552e-05	-7.999999999985796e-05	7.999999999985796e-05
train	linear_l2	incumbent	subckt_0020	initial	cached_stride	__aig_and_26622::observe	0.00013999999999991797	__aig_and_26622::control1	6.999999999990347e-05	-7.00000000000145e-05	0.00275000000000003
train	linear_l2	incumbent	subckt_0101	initial	cached_hard_cone	__aig_and_183::observe	0.000140000000000029	__buf_split_9::control1	7.00000000000145e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0101	initial	cached_random	__aig_not_250::observe	0.000140000000000029	__buf_split_251::control1	7.00000000000145e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0101	initial	cached_stride	__aig_and_221::observe	0.000140000000000029	__buf_split_9::control1	7.00000000000145e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0109	initial	cached_hard_cone	__aig_not_117::observe	0.00013999999999991797	__buf_split_26::control1	6.999999999990347e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0109	initial	cached_random	__aig_not_215::observe	0.00013999999999991797	233::control1	6.999999999990347e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0109	initial	cached_stride	__aig_and_294::observe	0.00013999999999991797	__buf_split_7::control1	6.999999999990347e-05	-7.00000000000145e-05	7.00000000000145e-05
train	linear_l2	incumbent	subckt_0076	initial	cached_random	new_n512303_::observe	0.00013999999999991797	__buf_split_1170::control1	7.00000000000145e-05	-6.999999999990347e-05	0.013229999999999964
train	linear_l2	incumbent	subckt_0165	initial	cached_stride	new_n154084_::observe	0.00012999999999985246	new_n154084_::control1	5.999999999994898e-05	-6.999999999990347e-05	0.011279999999999957
train	linear_l2	incumbent	subckt_0197	initial	cached_stride	__aig_not_35130::observe	0.00012000000000000899	new_n17000::control1	5.999999999994898e-05	-6.0000000000060005e-05	6.0000000000060005e-05
train	linear_l2	incumbent	subckt_0292	initial	cached_random	__aig_and_31462::observe	0.00012000000000000899	new_n8849::control1	5.999999999994898e-05	-6.0000000000060005e-05	0.0012400000000001299
train	linear_l2	incumbent	subckt_0292	initial	cached_stride	__aig_not_35738::observe	0.00012000000000000899	__aig_not_35738::control1	5.999999999994898e-05	-6.0000000000060005e-05	0.0023500000000000743
train	linear_l2	incumbent	subckt_0239	initial	cached_hard_cone	__aig_and_96::observe	0.00010999999999994348	__aig_and_96::control1	5.999999999994898e-05	-4.999999999999449e-05	0.0023099999999999232
train	linear_l2	incumbent	subckt_0043	initial	cached_hard_cone	__buf_split_76373::observe	9.00000000000345e-05	new_n108070_::control1	4.999999999999449e-05	-4.0000000000040004e-05	0.014079999999999981
train	linear_l2	incumbent	subckt_0043	initial	cached_random	new_n108103_::observe	9.00000000000345e-05	new_n108114_::control1	4.999999999999449e-05	-4.0000000000040004e-05	4.0000000000040004e-05
train	linear_l2	incumbent	subckt_0043	initial	cached_stride	new_n109512_::observe	9.00000000000345e-05	new_n108907_::control1	4.999999999999449e-05	-4.0000000000040004e-05	0.014079999999999981
train	linear_l2	incumbent	subckt_0147	initial	cached_random	new_n550474_::observe	8.000000000019103e-05	__buf_split_302149::control1	4.0000000000151026e-05	-4.0000000000040004e-05	4.0000000000040004e-05
train	linear_l2	incumbent	subckt_0147	initial	cached_stride	new_n552090_::observe	8.000000000019103e-05	__buf_split_1169::control1	4.0000000000151026e-05	-4.0000000000040004e-05	0.015449999999999964
train	linear_l2	incumbent	subckt_0238	initial	cached_random	__aig_and_313631::observe	7.000000000012552e-05	new_n207922::control1	3.0000000000085514e-05	-4.0000000000040004e-05	4.0000000000040004e-05
train	linear_l2	incumbent	subckt_0309	initial	cached_stride	__aig_not_296::observe	5.999999999994898e-05	__aig_and_1341::control0	2.999999999997449e-05	-2.999999999997449e-05	0.0007500000000000284
