checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0012	12	9	new_n48590_::observe	observe	new_n48587_::observe	observe	0	1	0.4190000000000027	0.4190000000000027	0.0	0	0.6149186938124421	0.782608695652174
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0016	16	9	new_n48669_::observe	observe	new_n48587_::observe	observe	0	1	0.4170000000000007	0.4170000000000007	0.0	0	0.8215838362577491	1.0
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0016	16	9	new_n48587_::observe	observe	new_n48587_::observe	observe	1	1	0.4170000000000007	0.4170000000000007	0.0	0	0.8215838362577491	1.0
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0016	16	9	new_n48669_::observe	observe	new_n48587_::observe	observe	0	1	0.4170000000000007	0.4170000000000007	0.0	0	0.8215838362577491	1.0
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0024	24	9	new_n48671_::observe	observe	new_n48592_::observe	observe	0	1	0.40799999999999725	0.6369999999999987	0.22900000000000142	0	0.7981987297166114	0.88
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0024	24	9	new_n48587_::observe	observe	new_n48592_::observe	observe	0	1	0.40799999999999725	0.6369999999999987	0.22900000000000142	0	0.6055300708194983	0.76
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0024	24	9	new_n48592_::observe	observe	new_n48592_::observe	observe	1	1	0.6369999999999987	0.6369999999999987	0.0	0	0.6330541649476573	0.8
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0031	31	9	new_n48671_::observe	observe	new_n48592_::observe	observe	0	1	0.3989999999999938	0.6249999999999978	0.22600000000000398	0	0.7115124735378854	0.8214285714285714
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0031	31	9	new_n48587_::observe	observe	new_n48592_::observe	observe	0	1	0.3989999999999938	0.6249999999999978	0.22600000000000398	0	0.7115124735378854	0.8214285714285714
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0031	31	9	new_n48587_::observe	observe	new_n48592_::observe	observe	0	1	0.3989999999999938	0.6249999999999978	0.22600000000000398	0	0.7642171012073583	0.8571428571428571
