rank,combo,label,best_hard_f1,best_epoch,n_runs,best_source,best_checkpoint
11,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=2.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.436560,3,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
12,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=mixed, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.426012,-2,1,autoresearch/core-component-ablation-260626-run-mining-mixed/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-mining-mixed/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
13,lh0p55__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.08, lh=0.55, lhr=0.5",0.412737,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p08__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
14,lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.411966,4,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
15,lh0p6__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.6, lhr=0.5",0.411377,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p6__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p6__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
16,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.1, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.410505,3,1,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
17,lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.0, lh=0.7, lhr=0.5",0.408647,3,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
18,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=4.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.408074,3,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
19,lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p7__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.7, lhc=0.1, lh=0.5, lhr=0.5",0.405916,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p7__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p7__fc0p0/epoch_003.pt
20,lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=mixed, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.2, lh=0.7, lhr=0.5",0.405874,3,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p2__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
21,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.1, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.403741,3,1,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p1__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
22,lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p8__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.8, lhc=0.1, lh=0.7, lhr=0.5",0.399335,3,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p8__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p8__fc0p0/epoch_003.pt
23,lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=mixed, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.0, lh=0.7, lhr=0.5",0.397392,3,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p0__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmmixed__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
24,lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.391835,2,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
25,lh0p5__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.15, lh=0.5, lhr=0.5",0.390861,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
26,lh0p55__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.55, lhr=0.5",0.390146,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
27,lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.389922,3,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
28,lh0p45__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.12, lh=0.45, lhr=0.5",0.389140,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
29,lh0p7__lhc0p1__lhr0p5__hlfocal__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=focal, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.5",0.386259,2,1,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlfocal__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p7__lhc0p1__lhr0p5__hlfocal__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
