[gmean] 2026-07-18T01:27:02 out_dir=autoresearch/unified-b15-reward-c48-exact-260718/b21_C
[gmean] 2026-07-18T01:27:02 budgets=iscas99__b21:628
[gmean] 2026-07-18T01:27:02 variant_start id=greedy__cumulative__reward_pred__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-18T01:27:02 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=reward_pred
[plan iscas99__b21] [plan] step=175 node=N5684 type=observe reward_pred=-0.052496 sequence=16.872742
[plan iscas99__b21] [plan] step=176 node=N5608 type=observe reward_pred=-0.052129 sequence=16.820612
[plan iscas99__b21] [plan] step=177 node=N2459 type=observe reward_pred=-0.052296 sequence=16.768317
[plan iscas99__b21] [plan] step=178 node=N2421 type=observe reward_pred=-0.052416 sequence=16.715900
[plan iscas99__b21] [plan] step=179 node=N4112 type=control1 reward_pred=-0.052521 sequence=16.663380
[plan iscas99__b21] [plan] step=180 node=N4100 type=control1 reward_pred=-0.053129 sequence=16.610250
[plan iscas99__b21] [plan] step=181 node=N12803 type=control1 reward_pred=0.168226 sequence=16.778476
[plan iscas99__b21] [plan] step=182 node=N12520 type=control1 reward_pred=-0.097357 sequence=16.681119
[plan iscas99__b21] [plan] step=183 node=N2440 type=observe reward_pred=-0.095659 sequence=16.585461
[plan iscas99__b21] [plan] step=184 node=N2516 type=observe reward_pred=-0.095110 sequence=16.490350
[plan iscas99__b21] [plan] step=185 node=N5703 type=observe reward_pred=-0.094827 sequence=16.395524
[plan iscas99__b21] [plan] step=186 node=N2478 type=observe reward_pred=-0.094706 sequence=16.300818
[plan iscas99__b21] [plan] step=187 node=N995 type=observe reward_pred=-0.094626 sequence=16.206191
[plan iscas99__b21] [plan] step=188 node=N2535 type=observe reward_pred=-0.094521 sequence=16.111670
[plan iscas99__b21] [plan] step=189 node=N5741 type=observe reward_pred=-0.094370 sequence=16.017299
[plan iscas99__b21] [plan] step=190 node=N5532 type=observe reward_pred=-0.094174 sequence=15.923126
[plan iscas99__b21] [plan] step=191 node=N2383 type=observe reward_pred=-0.093957 sequence=15.829169
[plan iscas99__b21] [plan] step=192 node=N2402 type=observe reward_pred=-0.093762 sequence=15.735407
[plan iscas99__b21] [plan] step=193 node=N2364 type=observe reward_pred=-0.094378 sequence=15.641029
[plan iscas99__b21] [plan] step=194 node=N6573 type=observe reward_pred=-0.094278 sequence=15.546751
[plan iscas99__b21] [plan] step=195 node=N6572 type=observe reward_pred=-0.094170 sequence=15.452581
[plan iscas99__b21] [plan] step=196 node=N14030 type=observe reward_pred=-0.038877 sequence=15.413704
[plan iscas99__b21] [plan] step=197 node=N18281 type=observe reward_pred=-0.025867 sequence=15.387837
[plan iscas99__b21] [plan] step=198 node=N857 type=control1 reward_pred=-0.037610 sequence=15.350227
[plan iscas99__b21] [plan] step=199 node=N863 type=control1 reward_pred=-0.027872 sequence=15.322356
[plan iscas99__b21] [plan] step=200 node=N18137 type=control1 reward_pred=-0.035396 sequence=15.286960
[plan iscas99__b21] [plan] step=201 node=N11037 type=control1 reward_pred=-0.039292 sequence=15.247668
[plan iscas99__b21] [plan] step=202 node=N2497 type=observe reward_pred=-0.043078 sequence=15.204590
[plan iscas99__b21] [plan] step=203 node=N18249 type=observe reward_pred=-0.025389 sequence=15.179201
[plan iscas99__b21] [plan] step=204 node=N14552 type=control1 reward_pred=-0.037355 sequence=15.141845
[plan iscas99__b21] [plan] step=205 node=N4528 type=control1 reward_pred=-0.037234 sequence=15.104612
[plan iscas99__b21] [plan] step=206 node=N18034 type=control1 reward_pred=-0.042368 sequence=15.062243
[plan iscas99__b21] [plan] step=207 node=N18336 type=observe reward_pred=-0.045084 sequence=15.017160
[plan iscas99__b21] [plan] step=208 node=N14894 type=control1 reward_pred=-0.047481 sequence=14.969679
[plan iscas99__b21] [plan] step=209 node=N15959 type=control1 reward_pred=0.167883 sequence=15.137562
[plan iscas99__b21] [plan] step=210 node=N14975 type=control1 reward_pred=0.169802 sequence=15.307364
[plan iscas99__b21] [plan] step=211 node=N14977 type=control1 reward_pred=0.167597 sequence=15.474960
[plan iscas99__b21] [plan] step=212 node=N11096 type=control1 reward_pred=0.165756 sequence=15.640717
[plan iscas99__b21] [plan] step=213 node=N6444 type=control0 reward_pred=0.159942 sequence=15.800659
[plan iscas99__b21] [plan] step=214 node=N8952 type=control1 reward_pred=0.147934 sequence=15.948593
[plan iscas99__b21] [plan] step=215 node=N11067 type=control1 reward_pred=0.176393 sequence=16.124986
[plan iscas99__b21] [plan] step=216 node=N10304 type=control1 reward_pred=0.172882 sequence=16.297867
[plan iscas99__b21] [plan] step=217 node=N841 type=control1 reward_pred=0.171997 sequence=16.469864
[plan iscas99__b21] [plan] step=218 node=N12709 type=control1 reward_pred=0.168580 sequence=16.638445
[plan iscas99__b21] [plan] step=219 node=N6274 type=control0 reward_pred=0.160537 sequence=16.798982
[plan iscas99__b21] [plan] step=220 node=N4534 type=control1 reward_pred=-0.100070 sequence=16.698911
[plan iscas99__b21] [plan] step=221 node=N11153 type=control1 reward_pred=-0.055665 sequence=16.643246
[plan iscas99__b21] [plan] step=222 node=N11158 type=control1 reward_pred=-0.054875 sequence=16.588371
[plan iscas99__b21] [plan] step=223 node=N11117 type=control1 reward_pred=-0.054178 sequence=16.534194
[plan iscas99__b21] [plan] step=224 node=N17540 type=control1 reward_pred=-0.053577 sequence=16.480617
[plan iscas99__b21] [plan] step=225 node=N18640 type=control1 reward_pred=-0.053077 sequence=16.427540
[plan iscas99__b21] [plan] step=226 node=N17039 type=control1 reward_pred=-0.052628 sequence=16.374912
[plan iscas99__b21] [plan] step=227 node=N8163 type=control1 reward_pred=-0.053263 sequence=16.321648
[plan iscas99__b21] [plan] step=228 node=N16538 type=control1 reward_pred=-0.053565 sequence=16.268084
[plan iscas99__b21] [plan] step=229 node=N16537 type=control1 reward_pred=-0.053840 sequence=16.214243
[plan iscas99__b21] [plan] step=230 node=N17538 type=control1 reward_pred=-0.053029 sequence=16.161214
[plan iscas99__b21] [plan] step=231 node=N17038 type=control1 reward_pred=-0.052588 sequence=16.108627
[plan iscas99__b21] [plan] step=232 node=N17037 type=control1 reward_pred=-0.052235 sequence=16.056391
[plan iscas99__b21] [plan] step=233 node=N17539 type=control1 reward_pred=-0.051908 sequence=16.004483
[plan iscas99__b21] [plan] step=234 node=N17546 type=control1 reward_pred=-0.051578 sequence=15.952905
[plan iscas99__b21] [plan] step=235 node=N17045 type=control1 reward_pred=-0.051293 sequence=15.901612
[plan iscas99__b21] [plan] step=236 node=N17545 type=control1 reward_pred=-0.051011 sequence=15.850601
[plan iscas99__b21] [plan] step=237 node=N17044 type=control1 reward_pred=-0.050774 sequence=15.799827
[plan iscas99__b21] [plan] step=238 node=N18639 type=control1 reward_pred=-0.050608 sequence=15.749219
[plan iscas99__b21] [plan] step=239 node=N18638 type=control1 reward_pred=-0.050449 sequence=15.698770
[plan iscas99__b21] [plan] step=240 node=N18646 type=control1 reward_pred=-0.050295 sequence=15.648475
[plan iscas99__b21] [plan] step=241 node=N18645 type=control1 reward_pred=-0.050148 sequence=15.598326
[plan iscas99__b21] [plan] step=242 node=N13908 type=control1 reward_pred=-0.051281 sequence=15.547046
[plan iscas99__b21] [plan] step=243 node=N16536 type=control1 reward_pred=-0.051811 sequence=15.495235
[plan iscas99__b21] [plan] step=244 node=N13916 type=control1 reward_pred=-0.052199 sequence=15.443035
[plan iscas99__b21] [plan] step=245 node=N9029 type=control1 reward_pred=-0.051366 sequence=15.391669
[plan iscas99__b21] [plan] step=246 node=N9030 type=control1 reward_pred=-0.051046 sequence=15.340624
[plan iscas99__b21] [plan] step=247 node=N12913 type=control1 reward_pred=-0.050839 sequence=15.289785
[plan iscas99__b21] [plan] step=248 node=N12912 type=control1 reward_pred=-0.050686 sequence=15.239099
[plan iscas99__b21] [plan] step=249 node=N9037 type=control1 reward_pred=-0.050558 sequence=15.188541
[plan iscas99__b21] [plan] step=250 node=N12920 type=control1 reward_pred=-0.050454 sequence=15.138088
[plan iscas99__b21] [plan] step=251 node=N13411 type=control1 reward_pred=-0.050374 sequence=15.087713
[plan iscas99__b21] [plan] step=252 node=N13410 type=control1 reward_pred=-0.050319 sequence=15.037395
[plan iscas99__b21] [plan] step=253 node=N11141 type=control1 reward_pred=-0.050295 sequence=14.987099
[plan iscas99__b21] [plan] step=254 node=N13418 type=control1 reward_pred=-0.050296 sequence=14.936803
[plan iscas99__b21] [plan] step=255 node=N13909 type=control1 reward_pred=-0.051612 sequence=14.885191
[plan iscas99__b21] [plan] step=256 node=N9031 type=control1 reward_pred=-0.051047 sequence=14.834144
[plan iscas99__b21] [plan] step=257 node=N12914 type=control1 reward_pred=-0.050906 sequence=14.783238
[plan iscas99__b21] [plan] step=258 node=N13915 type=control1 reward_pred=-0.052108 sequence=14.731129
[plan iscas99__b21] [plan] step=259 node=N13412 type=control1 reward_pred=-0.051501 sequence=14.679628
[plan iscas99__b21] [plan] step=260 node=N9036 type=control1 reward_pred=-0.051319 sequence=14.628310
[plan iscas99__b21] [plan] step=261 node=N12919 type=control1 reward_pred=-0.051204 sequence=14.577106
[plan iscas99__b21] [plan] step=262 node=N1281 type=control1 reward_pred=-0.044986 sequence=14.532120
[plan iscas99__b21] [plan] step=263 node=N13417 type=control1 reward_pred=-0.047225 sequence=14.484895
[plan iscas99__b21] [plan] step=264 node=N11148 type=control1 reward_pred=-0.048277 sequence=14.436618
