dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	3.361111111111111	0.0038799999999999607	-0.9999915718983949	-1.0	subckt_0155
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	8.833333333333334	0.00039722222222212723	-0.9999321706149232	-0.722276729148453	subckt_0165
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	16.61111111111111	0.0031038888888888856	-0.9994815653980973	-0.890211436681696	subckt_0168
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	2.111111111111111	-0.0004116666666667318	-0.9995701361944564	-0.6541671201608609	subckt_0171
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	16.5	-0.009619444444444455	-0.9999965355677565	-0.9999999999999999	subckt_0172
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	313.44444444444446	0.009389999999999944	-0.9992985448593855	-1.0	subckt_0173
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	3.0833333333333335	-0.00017111111111116538	-0.9998174376648348	-0.49251828131120423	subckt_0184
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	5.305555555555555	0.00484833333333329	-0.9999796920696492	-0.9950053733723538	subckt_0188
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	45.31481481481482	0.0003157407407407941	-0.9996883389364555	-0.9999999999999999	subckt_0189
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	22.944444444444443	0.0029672222222221446	-0.9999381490067227	-0.8361064968495785	subckt_0192
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	20.61111111111111	-0.0011683333333333055	-0.9992330034490737	-0.9851843661437781	subckt_0193
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	2.138888888888889	0.004351944444444459	-0.9999665618640365	-0.9982578383981825	subckt_0196
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	20.305555555555557	-0.00029555555555558247	-0.9997311340191348	-0.6652719374726727	subckt_0197
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	9.962962962962964	0.002163148148148124	-0.999907499655025	-0.9901724075276785	subckt_0203
