dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
oracle_balanced_train_wide	subckt_0297	oracle_hard_fault_count	oracle_test_coverage	18	56.22222222222222	0.6625194444444444	-0.9996524844678597	-1.0	25	74	0.5542199999999999	0.85119
oracle_balanced_train_wide	subckt_0297	oracle_hard_fault_count	oracle_fault_coverage	18	56.22222222222222	0.6625194444444444	-0.9996524844678597	-1.0	25	74	0.5542199999999999	0.85119
oracle_balanced_train_wide	subckt_0297	oracle_hard_fault_count	oracle_delta_tc	18	56.22222222222222	0.05275944444444443	-0.9996524844678597	-1.0	25	74	-0.05554	0.24143
oracle_balanced_train_wide	subckt_0297	oracle_hard_fault_count	oracle_delta_fault_coverage	18	56.22222222222222	0.05275944444444443	-0.9996524844678597	-1.0	25	74	-0.05554	0.24143
oracle_balanced_train_wide	subckt_0297	oracle_hard_fault_count	oracle_undetected_fault_count	18	56.22222222222222	56.22222222222222	1.0	1.0	25	74	25.0	74.0
oracle_balanced_train_wide	subckt_0300	oracle_hard_fault_count	oracle_test_coverage	36	1.0555555555555556	0.9952650000000001	-0.999931158364992	-0.5559226642726629	0	3	0.98661	1.0
oracle_balanced_train_wide	subckt_0300	oracle_hard_fault_count	oracle_fault_coverage	36	1.0555555555555556	0.9952650000000001	-0.999931158364992	-0.5559226642726629	0	3	0.98661	1.0
oracle_balanced_train_wide	subckt_0300	oracle_hard_fault_count	oracle_delta_tc	36	1.0555555555555556	-0.0001850000000000974	-0.999931158364991	-0.5559226642726629	0	3	-0.00884	0.0045499999999999
oracle_balanced_train_wide	subckt_0300	oracle_hard_fault_count	oracle_delta_fault_coverage	36	1.0555555555555556	-0.0001850000000000974	-0.999931158364991	-0.5559226642726629	0	3	-0.00884	0.0045499999999999
oracle_balanced_train_wide	subckt_0300	oracle_hard_fault_count	oracle_undetected_fault_count	36	1.0555555555555556	1.0555555555555556	1.0	0.9999999999999998	0	3	0.0	3.0
oracle_balanced_train_wide	subckt_0313	oracle_hard_fault_count	oracle_test_coverage	54	4.2592592592592595	0.9737333333333332	-0.9999926008513066	-0.9979953204028872	0	9	0.94444	1.0
oracle_balanced_train_wide	subckt_0313	oracle_hard_fault_count	oracle_fault_coverage	54	4.2592592592592595	0.9737333333333332	-0.9999926008513066	-0.9979953204028872	0	9	0.94444	1.0
