checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
horizon_joint_late	typed_return_pred	subckt_0230	prefix_0176	176	9	__aig_and_23176::observe	observe	__aig_and_23122::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.6708203932499369	0.8260869565217391	0.5
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0230	prefix_0176	176	9	__aig_and_23176::observe	observe	__aig_and_23122::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.8385254915624211	0.9565217391304348	1.0
horizon_joint_late	typed_marginal_pred	subckt_0230	prefix_0208	208	9	__aig_and_45352::observe	observe	__aig_and_45352::observe	observe	1	1	1	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.5196152422706631	0.8	0.75
horizon_joint_late	typed_return_pred	subckt_0230	prefix_0208	208	9	__aig_and_24675::observe	observe	__aig_and_45352::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.4330127018922193	0.75	0.5
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0230	prefix_0208	208	9	__aig_and_45352::observe	observe	__aig_and_45352::observe	observe	1	1	1	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.5196152422706631	0.8	0.5
horizon_joint_late	typed_marginal_pred	subckt_0230	prefix_0240	240	9	__buf_split_17185::observe	observe	__buf_split_17185::observe	observe	1	1	1	0.0	0.034999999999996145	0.034999999999996145	0.0	0	0.7905694150420948	0.8928571428571429	1.0
horizon_joint_late	typed_return_pred	subckt_0230	prefix_0240	240	9	__buf_split_17185::observe	observe	__buf_split_17185::observe	observe	1	1	1	0.0	0.034999999999996145	0.034999999999996145	0.0	0	0.7378647873726218	0.8571428571428571	0.75
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0230	prefix_0240	240	9	new_n16093::control1	control1	__buf_split_17185::observe	observe	0	0	1	0.0	-0.06800000000000139	0.034999999999996145	0.10299999999999754	1	0.2898754521821014	0.6428571428571429	0.75
horizon_joint_late	typed_marginal_pred	subckt_0230	prefix_0255	255	9	__aig_and_24678::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0010000000000065512	0.0010000000000065512	0.0	0	0.7216053531635458	0.8461538461538461	1.0
horizon_joint_late	typed_return_pred	subckt_0230	prefix_0255	255	9	__aig_and_25925::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0010000000000065512	0.0010000000000065512	0.0	0	0.6681531047810609	0.8076923076923077	0.5
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0230	prefix_0255	255	9	__aig_and_25933::observe	observe	__aig_and_25933::observe	observe	1	1	1	0.0	0.0010000000000065512	0.0010000000000065512	0.0	0	0.6147008563985761	0.7692307692307693	0.5
horizon_joint_late	typed_marginal_pred	subckt_0266	prefix_0144	144	9	__aig_not_61946::observe	observe	new_n28906::control1	control1	0	0	1	0.0	0.0340000000000118	1.0619999999999963	1.0279999999999845	0	0.8136762043449725	0.8181818181818182	0.625
