variant	feature	weight
action_type_linear	candidate_rank__z_group	-0.11093085259199142
action_type_linear	derived_hard_reduction_sa0_pred__rank_pct_group	0.1035451889038086
action_type_linear	derived_hard_reduction_hybrid_pred__minus_group_mean	-0.10164907574653625
action_type_linear	hybrid_pred__rank_pct_group	-0.09415004402399063
action_type_linear	hard_reduction_sa0_pred__rank_pct_group	0.09404292702674866
action_type_linear	benchmark_id=subckt_0240	0.08923852443695068
action_type_linear	hard_reduction_sa0_pred__z_group	0.08875615894794464
action_type_linear	benchmark_id=subckt_0173	0.087434783577919
action_type_linear	guarded_reward__rank_pct_group	0.08484244346618652
action_type_linear	benchmark_id=subckt_0117	-0.08218741416931152
action_type_linear	derived_hard_reduction_sa0_pred__z_group	0.082069993019104
action_type_linear	benchmark_id=subckt_0196	-0.08070448786020279
action_type_linear	bounded_residual_hybrid_pred__z_group	-0.08045673370361328
action_type_linear	benchmark_id=subckt_0364	0.07859232276678085
action_type_linear	benchmark_id=subckt_0203	0.07565025240182877
action_type_linear	derived_hard_reduction_total_pred	-0.07546468824148178
action_type_linear	benchmark_id=subckt_0001	-0.07546108216047287
action_type_linear	benchmark_id=subckt_0313	-0.07426232844591141
action_type_linear	benchmark_id=subckt_0133	-0.07369916141033173
action_type_linear	benchmark_id=subckt_0118	0.07297700643539429
action_type_linear	benchmark_id=subckt_0020	-0.07250039279460907
action_type_linear	hard_reduction_sa1_pred__minus_group_mean	0.0715767964720726
action_type_linear	type=__UNK__	-0.07023151963949203
action_type_linear	benchmark_id=subckt_0375	0.0688677579164505
action_type_linear	derived_hard_reduction_hybrid_pred	-0.06886690855026245
action_type_linear	return_pred__rank_pct_group	0.06852260231971741
action_type_linear	benchmark_id=subckt_0086	0.06830959022045135
action_type_linear	hard_reduction_sa0_pred__minus_group_mean	-0.06714490801095963
action_type_linear	benchmark_id=subckt_0048	-0.0669052004814148
action_type_linear	candidate_strategy=cached_stride	-0.06667159497737885
action_type_linear	benchmark_id=subckt_0279	-0.06661833822727203
action_type_linear	benchmark_id=subckt_0189	-0.06646117568016052
action_type_linear	hard_reduction_total_pred__minus_group_mean	-0.06530224531888962
action_type_linear	derived_hard_reduction_sa1_pred__rank_pct_group	-0.06262889504432678
action_type_linear	derived_hard_reduction_sa1_pred	-0.061485596001148224
action_type_linear	benchmark_id=subckt_0172	0.06069820001721382
action_type_linear	benchmark_id=subckt_0145	0.0588550865650177
action_type_linear	guarded_reward	0.058272529393434525
action_type_linear	fc_pred	-0.057909175753593445
action_type_linear	benchmark_id=subckt_0288	-0.05755452811717987
action_type_linear	benchmark_id=subckt_0081	-0.056975916028022766
action_type_linear	benchmark_id=subckt_0297	-0.0561293289065361
action_type_linear	benchmark_id=subckt_0261	0.055935587733983994
action_type_linear	benchmark_id=subckt_0049	0.053951095789670944
action_type_linear	benchmark_id=subckt_0062	0.05369297042489052
action_type_linear	benchmark_id=subckt_0315	0.05336400121450424
action_type_linear	candidate_strategy=cached_hard_cone	0.051537755876779556
action_type_linear	benchmark_id=subckt_0044	0.049816057085990906
action_type_linear	benchmark_id=subckt_0241	0.04943530261516571
action_type_linear	benchmark_id=subckt_0066	0.04931957647204399
action_type_linear	benchmark_id=subckt_0260	0.048439133912324905
action_type_linear	benchmark_id=subckt_0394	0.048392876982688904
action_type_linear	benchmark_id=subckt_0184	0.048003364354372025
action_type_linear	benchmark_id=subckt_0120	0.04769156128168106
action_type_linear	benchmark_id=subckt_0103	-0.0475766584277153
action_type_linear	benchmark_id=subckt_0239	0.04737282171845436
action_type_linear	benchmark_id=subckt_0395	-0.04709884896874428
action_type_linear	benchmark_id=subckt_0289	-0.046311140060424805
action_type_linear	benchmark_id=subckt_0168	-0.04596249759197235
action_type_linear	benchmark_id=subckt_0192	-0.04590360447764397
action_type_linear	guarded_reward__minus_group_mean	-0.04509890824556351
action_type_linear	derived_hard_reduction_total_pred__z_group	0.042293451726436615
action_type_linear	derived_hard_reduction_sa1_pred__z_group	-0.040901992470026016
action_type_linear	benchmark_id=subckt_0300	0.040744390338659286
action_type_linear	benchmark_id=subckt_0171	-0.040621042251586914
action_type_linear	benchmark_id=subckt_0107	0.03933203965425491
action_type_linear	benchmark_id=subckt_0370	-0.038695063441991806
action_type_linear	bounded_residual_hybrid_pred	0.038250572979450226
action_type_linear	hybrid_pred__z_group	0.038022879511117935
action_type_linear	reward_pred	-0.036685723811388016
action_type_linear	benchmark_id=subckt_0324	-0.0364903099834919
action_type_linear	benchmark_id=subckt_0188	0.03631384298205376
action_type_linear	benchmark_id=subckt_0116	-0.03596782684326172
action_type_linear	benchmark_id=subckt_0038	-0.035327374935150146
action_type_linear	benchmark_id=subckt_0267	-0.03474302589893341
action_type_linear	benchmark_id=subckt_0018	-0.03433806821703911
action_type_linear	benchmark_id=subckt_0338	-0.03380977734923363
action_type_linear	benchmark_id=subckt_0385	-0.03243941068649292
action_type_linear	benchmark_id=subckt_0317	-0.03243132680654526
action_type_linear	benchmark_id=subckt_0319	0.031821053475141525
action_type_linear	hard_reduction_total_pred	-0.03117070160806179
action_type_linear	derived_hard_count_post_total_pred__rank_pct_group	-0.030384797602891922
action_type_linear	benchmark_id=subckt_0230	-0.02825872227549553
action_type_linear	derived_hard_reduction_hybrid_pred__rank_pct_group	0.027572205290198326
action_type_linear	benchmark_id=subckt_0146	0.026285145431756973
