checkpoint	epoch	policy	shrinkage	benchmarks	nodes_evaluated	threshold_sa0	threshold_sa1	hard_macro_f1	hard_sa0_precision	hard_sa0_recall	hard_sa0_f1	hard_sa1_precision	hard_sa1_recall	hard_sa1_f1	mean_benchmark_f1	worst_benchmark_f1	best_benchmark_f1	brier_sa0	brier_sa1	ece_sa0	ece_sa1	fp_rate	fn_rate
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	global_0p5		1	32512	0.5	0.5	0.04200669904758159	0.014705882352941176	1.0	0.028985507246376812	0.02829896107923709	0.9918478260869565	0.05502789084878637	0.04200669904758159	0.04200669904758159	0.04200669904758159	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.19686577263779528	4.6136811023622047e-05
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	class_tuned		1	32512	0.8922367095947266	0.9985768795013428	0.252622537373442	0.02857142857142857	0.75	0.05504587155963303	0.8432835820895522	0.3070652173913043	0.450199203187251	0.252622537373442	0.252622537373442	0.252622537373442	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.0018916092519685038	0.003937007874015748
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_tuned		1	32512	mixed	mixed	0.252622537373442	0.02857142857142857	0.75	0.05504587155963303	0.8432835820895522	0.3070652173913043	0.450199203187251	0.252622537373442	0.252622537373442	0.252622537373442	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.0018916092519685038	0.003937007874015748
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.252622537373442	0.02857142857142857	0.75	0.05504587155963303	0.8432835820895522	0.3070652173913043	0.450199203187251	0.252622537373442	0.252622537373442	0.252622537373442	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.0018916092519685038	0.003937007874015748
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.252622537373442	0.02857142857142857	0.75	0.05504587155963303	0.8432835820895522	0.3070652173913043	0.450199203187251	0.252622537373442	0.252622537373442	0.252622537373442	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.0018916092519685038	0.003937007874015748
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.252622537373442	0.02857142857142857	0.75	0.05504587155963303	0.8432835820895522	0.3070652173913043	0.450199203187251	0.252622537373442	0.252622537373442	0.252622537373442	0.017362294945479105	0.23374567381819925	0.10583263826362861	0.4211215311514697	0.0018916092519685038	0.003937007874015748
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	global_0p5		1	32512	0.5	0.5	0.05053834543958567	0.013029315960912053	1.0	0.02572347266881029	0.03918580603026015	0.9782608695652174	0.07535321821036106	0.05053834543958567	0.05053834543958567	0.05053834543958567	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.14040969488188976	0.00012303149606299212
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	class_tuned		1	32512	0.8975613117218018	0.7962889075279236	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	benchmark_tuned		1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	global_0p5		1	32512	0.5	0.5	0.034436008029578635	0.015151515151515152	1.0	0.02985074626865672	0.01990103855146539	0.9945652173913043	0.03902126979050056	0.034436008029578635	0.034436008029578635	0.034436008029578635	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.2812038631889764	3.075787401574803e-05
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	class_tuned		1	32512	0.7542041540145874	0.9248530864715576	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	benchmark_tuned		1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	global_0p5		1	32512	0.5	0.5	0.05053834543958567	0.013029315960912053	1.0	0.02572347266881029	0.03918580603026015	0.9782608695652174	0.07535321821036106	0.05053834543958567	0.05053834543958567	0.05053834543958567	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.14040969488188976	0.00012303149606299212
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	class_tuned		1	32512	0.8975613117218018	0.7962889075279236	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	benchmark_tuned		1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.20307232834585132	0.09090909090909091	0.75	0.16216216216216214	0.15273972602739727	0.6059782608695652	0.24398249452954052	0.20307232834585132	0.20307232834585132	0.20307232834585132	0.022398008740020726	0.17819757615643605	0.12446557598036811	0.3483327269242131	0.019485113188976378	0.002245324803149606
