checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
A_base	b15_C	initial	cached_hard_cone	25	__buf_split_9	control0	__buf_split_9::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_9__control0	0.3546246588230133	0.003546246588230133	0.2587280869483948	0.2587280869483948	0.01745595596730709	2.358948342502117	1.898933783173561	0.3117668032646179	31.176680326461792	0.3546246588230133	0.3583526015281677	0.04860978573560715	0.026192042976617813	0.5086679458618164	0.26017406582832336	11223.3203125	7724.26171875
A_base	b15_C	initial	cached_hard_cone	26	__buf_split_9	control1	__buf_split_9::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_9__control1	0.33967283368110657	0.0033967283368110655	0.26214882731437683	0.26214882731437683	0.0209233108907938	2.6941527500748634	2.242786504328251	0.30113232135772705	30.113232135772705	0.33967283368110657	0.32636141777038574	0.04146735742688179	0.02834729664027691	0.49931442737579346	0.24920395016670227	11223.3203125	7843.61572265625
A_base	b15_C	initial	cached_hard_cone	27	__buf_split_9	observe	__buf_split_9::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_9__observe	0.33841830492019653	0.0033841830492019652	0.2544138431549072	0.2544138431549072	0.020151667296886444	2.607998877763748	2.1633747667074203	0.29434430599212646	29.434430599212646	0.33841830492019653	0.33292609453201294	0.043548583984375	0.02937210351228714	0.513523280620575	0.2369142323732376	11223.3203125	7919.7998046875
A_base	b15_C	initial	cached_hard_cone	28	N16723	control0	N16723::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16723__control0	0.3852021396160126	0.0038520213961601257	0.26644521951675415	0.26644521951675415	0.0075312405824661255	1.4047714173793793	0.9160358980298042	0.32942432165145874	32.942432165145874	0.3852021396160126	0.3838847875595093	0.05559827387332916	0.025759335607290268	0.5170173645019531	0.2802298963069916	11220.8173828125	7524.4072265625
A_base	b15_C	initial	cached_hard_cone	29	N16723	control1	N16723::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16723__control1	0.3745470345020294	0.0037454703450202943	0.2735702097415924	0.2735702097415924	0.01387864351272583	2.035981595516205	1.5498936623334885	0.32022038102149963	32.02203810214996	0.3745470345020294	0.3671543002128601	0.04930639639496803	0.0243501178920269	0.5007572174072266	0.2728763520717621	11220.8173828125	7627.68310546875
A_base	b15_C	initial	cached_hard_cone	30	N16723	observe	N16723::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16723__observe	0.36282584071159363	0.003628258407115936	0.2545851469039917	0.2545851469039917	0.01544901728630066	2.1623127162456512	1.6992544755339622	0.3071083724498749	30.710837244987488	0.36282584071159363	0.37895238399505615	0.05091346055269241	0.022177934646606445	0.5137131214141846	0.25292834639549255	11220.8173828125	7774.810546875
A_base	b15_C	initial	cached_hard_cone	31	__buf_split_11	control0	__buf_split_11::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__control0	0.35462453961372375	0.0035462453961372375	0.2587280869483948	0.2587280869483948	0.017455942928791046	2.358946919441223	1.8989324495196342	0.31176671385765076	31.176671385765076	0.35462453961372375	0.35835254192352295	0.04860978573560715	0.026192011311650276	0.5086678862571716	0.2601740062236786	11223.3232421875	7724.2646484375
A_base	b15_C	initial	cached_hard_cone	32	__buf_split_11	control1	__buf_split_11::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__control1	0.3396727740764618	0.003396727740764618	0.262148916721344	0.262148916721344	0.02092328853905201	2.6941505447030067	2.2427842766046524	0.30113229155540466	30.113229155540466	0.3396727740764618	0.32636141777038574	0.041467368602752686	0.02834727242588997	0.4993143677711487	0.24920392036437988	11223.3232421875	7843.6181640625
A_base	b15_C	initial	cached_hard_cone	33	__buf_split_11	observe	__buf_split_11::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_11__observe	0.33841824531555176	0.003384182453155518	0.2544138431549072	0.2544138431549072	0.020151637494564056	2.6079958379268646	2.1633717715740204	0.2943442463874817	29.43442463874817	0.33841824531555176	0.33292609453201294	0.04354860633611679	0.029372094199061394	0.513523280620575	0.23691414296627045	11223.3232421875	7919.802734375
A_base	b15_C	initial	cached_hard_cone	34	N16725	control0	N16725::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16725__control0	0.3852021396160126	0.0038520213961601257	0.26644518971443176	0.26644518971443176	0.0075312405824661255	1.4047713875770569	0.9160358905792236	0.32942432165145874	32.942432165145874	0.3852021396160126	0.3838847875595093	0.05559827387332916	0.025759335607290268	0.5170173645019531	0.2802298963069916	11220.8173828125	7524.4072265625
