node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_82_n_1409,1,0,0,0,1
__tpi_cp_83_n_3171,1,0,0,0,1
__tpi_cp_84___buf_split_1116,1,0,0,0,1
__tpi_cp_85___buf_split_1113,1,0,0,0,1
__tpi_cp_86___aig_and_161,1,0,0,1,0
__tpi_cp_87___aig_and_166,1,0,0,1,0
__tpi_cp_88_n_1903,1,0,0,0,1
__tpi_cp_89_n_1788,1,0,0,1,0
__tpi_cp_8___aig_and_812,1,0,0,0,1
__tpi_cp_90_n_1790,1,0,0,1,0
__tpi_cp_91_n_5173,1,0,0,1,0
__tpi_cp_92___aig_not_152,1,0,0,0,1
__tpi_cp_95_n_1789,1,0,0,1,0
__tpi_cp_96_n_2659,1,0,0,0,1
__tpi_cp_97_n_3447,1,0,0,0,1
__tpi_cp_99___aig_and_171,1,0,0,1,0
__tpi_cp_9___aig_and_686,1,0,0,0,1
