benchmark_id	state_id	candidate_strategy	node	type	action_key	oracle_delta_tc	reward_pred	guarded_reward	hard_reduction_total_pred	hybrid_pred	status
b15_C	initial	cached_stride	__buf_split_5349	control0	__buf_split_5349::control0	0.030590000000000006	0.2516220808029175	0.19889460504055023	-0.06499961018562317	-6.049444332718849	ok
b15_C	initial	cached_stride	__buf_split_5349	control1	__buf_split_5349::control1	0.03029000000000015	0.21973276138305664	0.17188990116119385	-0.06922884285449982	-6.531261622905731	ok
b15_C	initial	cached_stride	__buf_split_5349	observe	__buf_split_5349::observe	3.0000000000085514e-05	0.2196008414030075	0.16851533949375153	-0.06910386681556702	-6.522270500659943	ok
b15_C	initial	cached_stride	N7958	control0	N7958::control0	0.030590000000000006	0.23077145218849182	0.20467986166477203	-0.06928202509880066	-6.492751196026802	ok
b15_C	initial	cached_stride	N7958	control1	N7958::control1	0.030550000000000077	0.24570871889591217	0.2064199000597	-0.06262597441673279	-5.810468822717667	ok
b15_C	initial	cached_stride	N7958	observe	N7958::observe	8.000000000008001e-05	0.22874848544597626	0.19524213671684265	-0.06890276074409485	-6.466285452246666	ok
b15_C	initial	cached_stride	__buf_split_6690	control0	__buf_split_6690::control0	0.030470000000000108	0.25218647718429565	0.21377326548099518	-0.06297101080417633	-5.831141337752342	ok
b15_C	initial	cached_stride	__buf_split_6690	control1	__buf_split_6690::control1	0.030550000000000077	0.2328258454799652	0.19897297024726868	-0.06905290484428406	-6.473491668701172	ok
b15_C	initial	cached_stride	__buf_split_6690	observe	__buf_split_6690::observe	0.0005100000000000104	0.23245291411876678	0.19504888355731964	-0.06900082528591156	-6.47258073091507	ok
b15_C	initial	cached_stride	__buf_split_7296	control0	__buf_split_7296::control0	0.030590000000000006	0.3375324606895447	0.2808295786380768	-0.0175028033554554	-1.1319182962179184	ok
b15_C	initial	cached_stride	__buf_split_7296	control1	__buf_split_7296::control1	0.030590000000000006	0.31021732091903687	0.2601814270019531	-0.036584895104169846	-3.0880907624959946	ok
b15_C	initial	cached_stride	__buf_split_7296	observe	__buf_split_7296::observe	3.0000000000085514e-05	0.2656855583190918	0.21369080245494843	-0.05771685019135475	-5.292308658361435	ok
b15_C	initial	cached_stride	__buf_split_8186	control0	__buf_split_8186::control0	0.030590000000000006	0.3135284185409546	0.26147034764289856	-0.035769786685705185	-3.0019799023866653	ok
b15_C	initial	cached_stride	__buf_split_8186	control1	__buf_split_8186::control1	0.030590000000000006	0.27180731296539307	0.21727263927459717	-0.05892030522227287	-5.402950569987297	ok
b15_C	initial	cached_stride	__buf_split_8186	observe	__buf_split_8186::observe	3.0000000000085514e-05	0.23583461344242096	0.185841903090477	-0.0705149918794632	-6.629822671413422	ok
b15_C	initial	cached_stride	__buf_split_8875	control0	__buf_split_8875::control0	0.030550000000000077	0.2656651735305786	0.21596983075141907	-0.05751411244273186	-5.269776239991188	ok
b15_C	initial	cached_stride	__buf_split_8875	control1	__buf_split_8875::control1	0.03029000000000015	0.2639630436897278	0.21317142248153687	-0.05746116861701012	-5.268982395529747	ok
b15_C	initial	cached_stride	__buf_split_8875	observe	__buf_split_8875::observe	0.007530000000000037	0.26131296157836914	0.2102738916873932	-0.057000722736120224	-5.22848542034626	ok
b15_C	initial	cached_stride	__buf_split_9412	control0	__buf_split_9412::control0	0.030590000000000006	0.3366350531578064	0.28187817335128784	-0.016098152846097946	-0.9913020581007004	ok
b15_C	initial	cached_stride	__buf_split_9412	control1	__buf_split_9412::control1	0.030590000000000006	0.32478880882263184	0.2749480605125427	-0.023671794682741165	-1.767442598938942	ok
b15_C	initial	cached_stride	__buf_split_9412	observe	__buf_split_9412::observe	0.006540000000000101	0.24876494705677032	0.20884022116661072	-0.063937708735466	-5.936165705323219	ok
b15_C	initial	cached_stride	N12321	control0	N12321::control0	0.030590000000000006	0.36523520946502686	0.2956571877002716	-0.0010789595544338226	0.5529964417219162	ok
b15_C	initial	cached_stride	N12321	control1	N12321::control1	0.030590000000000006	0.3425198197364807	0.2865881025791168	-0.016045961529016495	-0.9754882305860519	ok
b15_C	initial	cached_stride	N12321	observe	N12321::observe	3.0000000000085514e-05	0.35169804096221924	0.2874373197555542	-0.009638141840696335	-0.32467882335186005	ok
b15_C	initial	cached_stride	N8270	control0	N8270::control0	0.030510000000000037	0.2666471600532532	0.21876713633537292	-0.056196268647909164	-5.13421256840229	ok
b15_C	initial	cached_stride	N8270	control1	N8270::control1	0.030510000000000037	0.26446253061294556	0.21389125287532806	-0.056176166981458664	-5.139262914657593	ok
b15_C	initial	cached_stride	N8270	observe	N8270::observe	0.0010200000000000209	0.2646721601486206	0.21186484396457672	-0.05499191954731941	-5.022654950618744	ok
b15_C	initial	cached_stride	N9361	control0	N9361::control0	0.030590000000000006	0.30438345670700073	0.24945855140686035	-0.03621556982398033	-3.067714974284172	ok
b15_C	initial	cached_stride	N9361	control1	N9361::control1	0.030590000000000006	0.3047252297401428	0.2479255646467209	-0.037057217210531235	-3.1530709266662598	ok
b15_C	initial	cached_stride	N9361	observe	N9361::observe	3.0000000000085514e-05	0.26316601037979126	0.20521511137485504	-0.057460468262434006	-5.277665704488754	ok
b15_C	initial	cached_hard_cone	__buf_split_1	control0	__buf_split_1::control0	0.030590000000000006	0.2648739218711853	0.2239551991224289	-0.06434640288352966	-5.945811167359352	ok
b15_C	initial	cached_hard_cone	__buf_split_1	control1	__buf_split_1::control1	0.030590000000000006	0.2781575322151184	0.23377731442451477	-0.05738551542162895	-5.226616695523262	ok
b15_C	initial	cached_hard_cone	__buf_split_1	observe	__buf_split_1::observe	3.0000000000085514e-05	0.24225468933582306	0.20539213716983795	-0.06980307400226593	-6.532660573720932	ok
b15_C	initial	cached_hard_cone	N16715	control0	N16715::control0	0.030550000000000077	0.24328024685382843	0.21200114488601685	-0.0694417953491211	-6.488898143172264	ok
b15_C	initial	cached_hard_cone	N16715	control1	N16715::control1	0.030550000000000077	0.25845175981521606	0.2219485640525818	-0.0628051608800888	-5.800115764141083	ok
b15_C	initial	cached_hard_cone	N16715	observe	N16715::observe	3.0000000000085514e-05	0.23834866285324097	0.20624816417694092	-0.06915709376335144	-6.471112549304962	ok
b15_C	initial	cached_hard_cone	__buf_split_3	control0	__buf_split_3::control0	0.030590000000000006	0.2648738622665405	0.2239551842212677	-0.06434640288352966	-5.945811241865158	ok
b15_C	initial	cached_hard_cone	__buf_split_3	control1	__buf_split_3::control1	0.030590000000000006	0.2781575322151184	0.23377732932567596	-0.05738551542162895	-5.226616680622101	ok
b15_C	initial	cached_hard_cone	__buf_split_3	observe	__buf_split_3::observe	3.0000000000085514e-05	0.24225471913814545	0.20539212226867676	-0.06980305910110474	-6.532659068703651	ok
b15_C	initial	cached_hard_cone	N16717	control0	N16717::control0	0.030550000000000077	0.24339188635349274	0.21170419454574585	-0.06945711374282837	-6.490615293383598	ok
b15_C	initial	cached_hard_cone	N16717	control1	N16717::control1	0.030550000000000077	0.25855398178100586	0.2217971533536911	-0.06283417344093323	-5.803066208958626	ok
b15_C	initial	cached_hard_cone	N16717	observe	N16717::observe	3.0000000000085514e-05	0.23850293457508087	0.2060232311487198	-0.06920754909515381	-6.47622874379158	ok
b15_C	initial	cached_hard_cone	__buf_split_5	control0	__buf_split_5::control0	0.030590000000000006	0.2648738622665405	0.2239551842212677	-0.06434640288352966	-5.945811241865158	ok
b15_C	initial	cached_hard_cone	__buf_split_5	control1	__buf_split_5::control1	0.030590000000000006	0.2781575322151184	0.23377732932567596	-0.05738551542162895	-5.226616680622101	ok
