split	checkpoint_name	method	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	oracle_delta_tc	q_pred	q_calibrated
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	1.4289208214805598
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.8792540841160651
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	1	__buf_split_9	control0	__buf_split_9::control0	-0.0031199999999999006	-0.6970760226249695	0.058823529411764705
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	2	__buf_split_9	control1	__buf_split_9::control1	-0.0031199999999999006	0.10609574615955353	0.35294117647058826
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	3	__buf_split_9	observe	__buf_split_9::observe	0.003630000000000022	0.2693873345851898	0.7058823529411765
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	4	__buf_split_11	control0	__buf_split_11::control0	-0.0031199999999999006	-0.2996877133846283	0.17647058823529413
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	5	__buf_split_11	control1	__buf_split_11::control1	-0.0031199999999999006	0.13268470764160156	0.4117647058823529
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	6	__buf_split_11	observe	__buf_split_11::observe	0.003630000000000022	0.25758254528045654	0.6470588235294118
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	7	__buf_split_12	control0	__buf_split_12::control0	-0.0031199999999999006	-0.24244163930416107	0.29411764705882354
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	8	__buf_split_12	control1	__buf_split_12::control1	-0.0031199999999999006	0.16033297777175903	0.5294117647058824
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	9	__buf_split_12	observe	__buf_split_12::observe	0.003630000000000022	0.30486613512039185	0.8823529411764706
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	0.0
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.5882352941176471
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.7647058823529411
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	0.23529411764705882
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.47058823529411764
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.8235294117647058
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	0.11764705882352941
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	1.0
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.9411764705882353
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	1	__buf_split_9	control0	__buf_split_9::control0	-0.0031199999999999006	-0.6970760226249695	-0.6157524381051519
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	2	__buf_split_9	control1	__buf_split_9::control1	-0.0031199999999999006	0.10609574615955353	0.02842212901306651
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	3	__buf_split_9	observe	__buf_split_9::observe	0.003630000000000022	0.2693873345851898	0.15938824656886263
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	4	__buf_split_11	control0	__buf_split_11::control0	-0.0031199999999999006	-0.2996877133846283	-0.29703177083103305
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	5	__buf_split_11	control1	__buf_split_11::control1	-0.0031199999999999006	0.13268470764160156	0.04974749603728571
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	6	__buf_split_11	observe	__buf_split_11::observe	0.003630000000000022	0.25758254528045654	0.14992035273115176
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	7	__buf_split_12	control0	__buf_split_12::control0	-0.0031199999999999006	-0.24244163930416107	-0.2511182235386409
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	8	__buf_split_12	control1	__buf_split_12::control1	-0.0031199999999999006	0.16033297777175903	0.0719224692308965
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	9	__buf_split_12	observe	__buf_split_12::observe	0.003630000000000022	0.30486613512039185	0.18784360551558485
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	10	__buf_split_13	control0	__buf_split_13::control0	-0.0031199999999999006	-0.7488498091697693	-0.6572770008845927
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	11	__buf_split_13	control1	__buf_split_13::control1	-0.0031199999999999006	0.17250199615955353	0.081682488764544
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	12	__buf_split_13	observe	__buf_split_13::observe	0.003630000000000022	0.27007943391799927	0.15994333678174452
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	13	__buf_split_15	control0	__buf_split_15::control0	-0.0031199999999999006	-0.28634634613990784	-0.2863314825444577
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	14	__buf_split_15	control1	__buf_split_15::control1	-0.0031199999999999006	0.15705415606498718	0.06929272845102077
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	15	__buf_split_15	observe	__buf_split_15::observe	0.003630000000000022	0.304721474647522	0.18772758226736846
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	16	__buf_split_16	control0	__buf_split_16::control0	-0.0031199999999999006	-0.638794481754303	-0.5690084067279527
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	17	__buf_split_16	control1	__buf_split_16::control1	-0.0031199999999999006	0.5505163073539734	0.3848644664461894
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	18	__buf_split_16	observe	__buf_split_16::observe	0.003630000000000022	0.34117987751960754	0.21696861986445576
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	1	__buf_split_9	control0	__buf_split_9::control0	-0.0031199999999999006	-0.6970760226249695	-0.27054369028455943
